# (1) ID
# (2) File
# (3) Description
# (4) Type
# (5) units
52,map.CS.NAME_NORM_51_ssp.fits.gz,Luminosity Fraction for age-met 0.0398-0.0315 SSP, flux, fraction
53,map.CS.NAME_NORM_52_ssp.fits.gz,Luminosity Fraction for age-met 0.0562-0.0037 SSP, flux, fraction
54,map.CS.NAME_NORM_53_ssp.fits.gz,Luminosity Fraction for age-met 0.0562-0.0076 SSP, flux, fraction
55,map.CS.NAME_NORM_54_ssp.fits.gz,Luminosity Fraction for age-met 0.0562-0.0190 SSP, flux, fraction
56,map.CS.NAME_NORM_55_ssp.fits.gz,Luminosity Fraction for age-met 0.0562-0.0315 SSP, flux, fraction
57,map.CS.NAME_NORM_56_ssp.fits.gz,Luminosity Fraction for age-met 0.0631-0.0037 SSP, flux, fraction
58,map.CS.NAME_NORM_57_ssp.fits.gz,Luminosity Fraction for age-met 0.0631-0.0076 SSP, flux, fraction
59,map.CS.NAME_NORM_58_ssp.fits.gz,Luminosity Fraction for age-met 0.0631-0.0190 SSP, flux, fraction
60,map.CS.NAME_NORM_59_ssp.fits.gz,Luminosity Fraction for age-met 0.0631-0.0315 SSP, flux, fraction
61,map.CS.NAME_NORM_60_ssp.fits.gz,Luminosity Fraction for age-met 0.0630-0.0037 SSP, flux, fraction
62,map.CS.NAME_NORM_61_ssp.fits.gz,Luminosity Fraction for age-met 0.0630-0.0076 SSP, flux, fraction
63,map.CS.NAME_NORM_62_ssp.fits.gz,Luminosity Fraction for age-met 0.0630-0.0190 SSP, flux, fraction
64,map.CS.NAME_NORM_63_ssp.fits.gz,Luminosity Fraction for age-met 0.0630-0.0315 SSP, flux, fraction
65,map.CS.NAME_NORM_64_ssp.fits.gz,Luminosity Fraction for age-met 0.0708-0.0037 SSP, flux, fraction
66,map.CS.NAME_NORM_65_ssp.fits.gz,Luminosity Fraction for age-met 0.0708-0.0076 SSP, flux, fraction
67,map.CS.NAME_NORM_66_ssp.fits.gz,Luminosity Fraction for age-met 0.0708-0.0190 SSP, flux, fraction
68,map.CS.NAME_NORM_67_ssp.fits.gz,Luminosity Fraction for age-met 0.0708-0.0315 SSP, flux, fraction
69,map.CS.NAME_NORM_68_ssp.fits.gz,Luminosity Fraction for age-met 0.1122-0.0037 SSP, flux, fraction
70,map.CS.NAME_NORM_69_ssp.fits.gz,Luminosity Fraction for age-met 0.1122-0.0076 SSP, flux, fraction
71,map.CS.NAME_NORM_70_ssp.fits.gz,Luminosity Fraction for age-met 0.1122-0.0190 SSP, flux, fraction
72,map.CS.NAME_NORM_71_ssp.fits.gz,Luminosity Fraction for age-met 0.1122-0.0315 SSP, flux, fraction
73,map.CS.NAME_NORM_72_ssp.fits.gz,Luminosity Fraction for age-met 0.1259-0.0037 SSP, flux, fraction
74,map.CS.NAME_NORM_73_ssp.fits.gz,Luminosity Fraction for age-met 0.1259-0.0076 SSP, flux, fraction
75,map.CS.NAME_NORM_74_ssp.fits.gz,Luminosity Fraction for age-met 0.1259-0.0190 SSP, flux, fraction
76,map.CS.NAME_NORM_75_ssp.fits.gz,Luminosity Fraction for age-met 0.1259-0.0315 SSP, flux, fraction
77,map.CS.NAME_NORM_76_ssp.fits.gz,Luminosity Fraction for age-met 0.1585-0.0037 SSP, flux, fraction
78,map.CS.NAME_NORM_77_ssp.fits.gz,Luminosity Fraction for age-met 0.1585-0.0076 SSP, flux, fraction
79,map.CS.NAME_NORM_78_ssp.fits.gz,Luminosity Fraction for age-met 0.1585-0.0190 SSP, flux, fraction
80,map.CS.NAME_NORM_79_ssp.fits.gz,Luminosity Fraction for age-met 0.1585-0.0315 SSP, flux, fraction
81,map.CS.NAME_NORM_80_ssp.fits.gz,Luminosity Fraction for age-met 0.1995-0.0037 SSP, flux, fraction
82,map.CS.NAME_NORM_81_ssp.fits.gz,Luminosity Fraction for age-met 0.1995-0.0076 SSP, flux, fraction
83,map.CS.NAME_NORM_82_ssp.fits.gz,Luminosity Fraction for age-met 0.1995-0.0190 SSP, flux, fraction
84,map.CS.NAME_NORM_83_ssp.fits.gz,Luminosity Fraction for age-met 0.1995-0.0315 SSP, flux, fraction
85,map.CS.NAME_NORM_84_ssp.fits.gz,Luminosity Fraction for age-met 0.1000-0.0037 SSP, flux, fraction
86,map.CS.NAME_NORM_85_ssp.fits.gz,Luminosity Fraction for age-met 0.1000-0.0076 SSP, flux, fraction
87,map.CS.NAME_NORM_86_ssp.fits.gz,Luminosity Fraction for age-met 0.1000-0.0190 SSP, flux, fraction
88,map.CS.NAME_NORM_87_ssp.fits.gz,Luminosity Fraction for age-met 0.1000-0.0315 SSP, flux, fraction
89,map.CS.NAME_NORM_88_ssp.fits.gz,Luminosity Fraction for age-met 0.2818-0.0037 SSP, flux, fraction
90,map.CS.NAME_NORM_89_ssp.fits.gz,Luminosity Fraction for age-met 0.2818-0.0076 SSP, flux, fraction
91,map.CS.NAME_NORM_90_ssp.fits.gz,Luminosity Fraction for age-met 0.2818-0.0190 SSP, flux, fraction
92,map.CS.NAME_NORM_91_ssp.fits.gz,Luminosity Fraction for age-met 0.2818-0.0315 SSP, flux, fraction
93,map.CS.NAME_NORM_92_ssp.fits.gz,Luminosity Fraction for age-met 0.3548-0.0037 SSP, flux, fraction
